NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TPG
Marko Simonovic,Chicago Bulls,C,23.5,6,1.9,15.5,0,0,2,0.5,2,0,0.3,0.2,0,0,0,0
Lester Quinones,Golden State Warriors,G,20,3,2.5,44.6,2,0.5,1,0,2,0,0.3,0.7,0.3,0,0,1.3
Sterling Brooklyn Netswn,Los Angeles Lakers,G-F,28.2,4,6.1,6.9,0,0,2,0,2,0,0,2,0.5,0.8,0,0
Deonte Burton,Sacramento Kings,G-F,29.2,2,3.3,13.2,0,0,1,0,1,0,0,0,0,0,0,0
Julian Charlotte Hornetsmpagnie,Philadelphia 76ers,F,21.8,2,3.4,13.4,0,0,1,0,1,0,0,0,0,0.5,0,0
MiCharlotte Hornetsel Foster Jr.,Philadelphia 76ers,F,20.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Jackson,Utah Jazz,G,24.9,1,5.1,24.6,0,0,2,0,1,0,0,2,1,0,0,0
Alondes Williams,Brooklyn Nets,G,23.8,1,5.3,16.7,0,0,0,0,0,0,0,1,0,0,0,2
Jamaree Bouyea,Washington Wizards,G,23.8,1,5.5,7.9,0,0,0,0,1,0,0,1,0,0,0,0
Moses Brooklyn Netswn,Brooklyn Nets,C,23.5,2,3.2,6.9,0,0,0,0,0,0,0,0,0,0.5,0,0.5
Donovan Williams,Atlanta Hawks,G,21.6,1,1.7,24.7,0,0,0,0,1,0,0,1,0,0,0,0
Justin Charlotte Hornetsmpagnie,Boston Celtics,G-F,21.8,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
