NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TPG
Delon Wright,Washington Wizards,G,31,50,24.4,12.9,60,0.867,172,0.564,120,0.342,7.4,3.6,3.9,1.8,0.3,0.9
Mo Bamba,Orlando Magic,C,24.9,40,17,16.3,51,0.686,106,0.594,108,0.398,7.3,4.6,1.1,0.3,1,0.6
Josh Okogie,Phoenix Suns,G,24.6,71,18.6,17.6,188,0.723,209,0.45,192,0.333,7.3,3.4,1.4,0.8,0.5,0.9
Mitchell Robinson,New York Knicks,C-F,25,58,26.9,9.9,118,0.492,270,0.681,0,0,7.3,9.2,0.9,0.9,1.8,0.7
Trendon Watford,Portland Trail Blazers,F,22.4,61,19.1,15.9,96,0.729,252,0.607,63,0.381,7.3,3.8,2.1,0.5,0.2,1.1
Jay Huff,Washington Wizards,C,25.6,7,13.6,17,16,0.938,13,0.692,12,0.5,7.3,3,1.4,0.4,0.6,0.7
Reggie Bullock,Dallas Mavericks,G-F,32.1,78,30.3,10,37,0.703,73,0.562,397,0.38,7.2,3.6,1.4,0.7,0.2,0.5
Dorian Finney-Smith,Brooklyn Nets,F,29.9,26,27.7,13.9,19,0.789,70,0.429,121,0.306,7.2,4.9,1.6,0.7,0.6,1
Isaiah Jackson,Indiana Pacers,F,21.2,62,16.4,17.5,140,0.65,298,0.591,14,0.143,7.2,4.4,0.8,0.5,1.5,0.8
Troy Brooklyn Netswn Jr.,Los Angeles Lakers,G-F,23.7,75,24.6,12.1,37,0.892,182,0.505,278,0.381,7.1,4.1,1.3,0.8,0.2,0.7
Willy Hernangomez,New Orleans Pelicans,C-F,28.9,37,12.4,23.8,104,0.779,158,0.544,11,0.273,7.1,4.9,0.9,0.5,0.4,1.1
Kevon Looney,Golden State Warriors,F,27.2,81,23.9,10.7,155,0.606,379,0.633,1,0,7.1,9.3,2.5,0.6,0.6,0.6
Edmond Sumner,Brooklyn Nets,G,27.3,53,13.9,22.1,108,0.917,182,0.511,87,0.356,7.1,1.5,1.3,0.6,0.2,0.9
Joe Ingles,Milwaukee Bucks,F-G,35.5,45,22.8,12.6,21,0.857,44,0.545,201,0.413,7,2.8,3.2,0.7,0.1,1.2
Romeo Langford,San Antonio Spurs,G-F,23.5,42,19.8,15.4,53,0.679,196,0.531,60,0.267,7,2.7,1.2,0.6,0.3,0.7
Joshua Primo,San Antonio Spurs,G,20.3,4,23.4,18.1,9,0.778,14,0.429,12,0.25,7,3.3,4.5,0.3,0.5,2.8
Daniel Theis,Indiana Pacers,F-C,31,7,15.5,20.2,12,0.417,33,0.576,11,0.182,7,3.1,1.3,0.3,0.9,0.4
Xavier Tillman,Memphis Grizzlies,F,24.2,61,19.3,13.7,89,0.551,291,0.632,15,0.267,7,5,1.6,1,0.5,0.7
Obi Toppin,New York Knicks,F,25.1,66,15.4,19.2,44,0.795,159,0.591,237,0.338,7,2.7,0.9,0.3,0.2,0.6
Jarred Vanderbilt,Los Angeles Lakers,F,24,25,24.2,12.3,35,0.771,101,0.584,32,0.313,7,6.8,1.6,1.2,0.2,1.1
Ty Jerome,Golden State Warriors,G-F,25.8,45,18.1,14.9,41,0.927,152,0.546,90,0.389,6.9,1.7,3,0.5,0.1,0.7
Cory Joseph,Detroit Pistons,G,31.6,61,19.5,15.3,71,0.803,168,0.47,173,0.399,6.9,1.7,3.4,0.6,0.1,0.9
Larry Nance Jr.,New Orleans Pelicans,F-C,30.3,64,21.3,12,79,0.696,261,0.655,42,0.333,6.9,5.5,1.8,0.9,0.6,0.7
Ben Simmons,Brooklyn Nets,G-F,26.7,42,26.3,14.3,57,0.439,233,0.571,2,0,6.9,6.3,6.1,1.3,0.5,2.3
Aaron Wiggins,Oklahoma City Thunder,G-F,24.3,69,18.7,14.4,71,0.831,238,0.567,121,0.397,6.9,3,1.2,0.6,0.2,0.8
James Wiseman,Golden State Warriors,C,22,21,12.5,20,38,0.684,92,0.63,2,0.5,6.9,3.5,0.7,0.1,0.3,0.7
Terence Davis,Sacramento Kings,G,25.9,63,13.1,22.2,41,0.829,120,0.533,235,0.374,6.8,2.2,1.1,0.7,0.2,0.8
Justise Winslow,Portland Trail Blazers,F-G,27,29,26.8,14.2,28,0.714,153,0.438,45,0.311,6.8,5,3.4,1,0.4,1.5
Anthony Lamb,Golden State Warriors,F,25.2,61,19.4,13.9,60,0.767,113,0.646,199,0.367,6.7,3.5,1.5,0.5,0.3,0.9
Isaiah Livers,Detroit Pistons,F,24.7,52,23.1,11.9,39,0.821,85,0.541,203,0.365,6.7,2.8,0.8,0.5,0.5,0.6
Kendrick Nunn,Los Angeles Lakers,G,27.7,39,13.5,23.4,21,0.81,125,0.488,126,0.325,6.7,1.4,0.9,0.3,0.1,0.8
Dwight Powell,Dallas Mavericks,F-C,31.7,76,19.2,12.7,168,0.667,264,0.746,5,0,6.7,4.1,0.9,0.6,0.3,0.9
JereMiami Heath Robinson-Earl,Oklahoma City Thunder,F,22.4,42,18.4,14.6,40,0.825,130,0.554,105,0.333,6.7,4.1,1,0.6,0.3,0.5
Drew Eubanks,Portland Trail Blazers,F-C,26.2,78,20.3,12.5,125,0.664,316,0.655,18,0.389,6.6,5.4,1.3,0.5,1.3,0.9
Nassir Little,Portland Trail Blazers,F-G,23.2,54,18.1,16,46,0.717,145,0.524,158,0.367,6.6,2.6,0.9,0.4,0.4,0.7
Jalen McDaniels,Philadelphia 76ers,F-C,25.2,23,17.4,16.1,34,0.824,86,0.512,30,0.4,6.6,3.2,0.7,0.7,0.2,0.6
David Roddy,Memphis Grizzlies,F,22,69,17.6,16.5,65,0.631,197,0.563,204,0.309,6.6,2.7,0.8,0.4,0.3,0.8
Cody Zeller,Miami Heat,F-C,30.5,14,14.6,18.4,31,0.71,55,0.636,2,0,6.6,4.3,0.6,0.2,0.3,1
Brandon Boston Celticston Jr.,LA Clippers,G,21.4,22,11.3,26.5,38,0.763,93,0.419,29,0.414,6.5,1.4,0.9,0.4,0,0.5
Jae Crowder,Milwaukee Bucks,F,32.8,17,18.5,12.6,12,0.833,33,0.576,49,0.429,6.5,3.8,1.2,0.6,0.4,0.4
Goran Dragic,Chicago Bulls,G,36.9,50,15.6,21,41,0.659,170,0.482,128,0.352,6.5,1.4,2.8,0.2,0.1,1.1
Luka Garza,Minnesota Timberwolves,C,24.3,28,8.7,26.9,52,0.788,77,0.636,39,0.359,6.5,2.3,0.6,0.1,0.1,0.5
JaMyCharlotte Hornetsl Green,Golden State Warriors,F-C,32.8,56,14,17.7,67,0.776,140,0.664,110,0.382,6.5,3.6,0.9,0.4,0.4,0.9
Jock LanDallas Maverickse,Phoenix Suns,C,27.5,68,14.1,19.1,105,0.752,241,0.627,83,0.241,6.5,4,1,0.2,0.4,0.9
Jay Scrubb,Orlando Magic,G,22.6,2,15.1,15.5,2,0.5,5,0.6,2,1,6.5,3,0.5,1,0.5,1.5
Patrick Beverley,Los Angeles Lakers,G,34.7,45,26.9,10.6,50,0.78,83,0.506,158,0.348,6.4,3.1,2.6,0.9,0.6,0.9
Theo Maledon,Charlotte Hornets,G,21.8,43,18.9,17,70,0.843,148,0.453,93,0.301,6.4,2.7,3.4,0.8,0.3,1.3
Isaac Okoro,Cleveland Cavaliers,F-G,22.2,76,21.7,12,103,0.757,183,0.617,171,0.363,6.4,2.5,1.1,0.7,0.4,0.6
Nickeil Alexander-Walker,Utah Jazz,G,24.6,36,14.7,18.4,39,0.692,83,0.578,87,0.402,6.3,1.6,2.1,0.7,0.4,1.3
Evan Fournier,New York Knicks,G-F,30.4,26,17.2,18.5,21,0.857,51,0.412,111,0.315,6.3,1.8,1.4,0.6,0.1,0.8
Jordan Goodwin,Washington Wizards,G,24.5,61,17.6,17,65,0.769,229,0.502,110,0.318,6.3,3.3,2.7,0.9,0.4,0.9
Nicolas Batum,LA Clippers,G-F,34.3,77,21.9,11.6,48,0.708,64,0.563,315,0.394,6.2,3.8,1.6,0.7,0.6,0.6
Sam Hauser,Boston Celtics,F,25.3,79,15.8,14.5,17,0.706,59,0.661,321,0.411,6.2,2.5,0.8,0.4,0.3,0.4
Mike Muscala,Oklahoma City Thunder,F-C,31.8,43,14.5,15.7,39,0.795,61,0.541,142,0.394,6.2,3.1,0.9,0.3,0.4,0.3
Robert Covington,LA Clippers,F,32.3,47,16.5,15.7,40,0.75,93,0.516,136,0.397,6.1,3.5,1.2,0.8,0.7,0.7
Nickeil Alexander-Walker,Minnesota Timberwolves,G,24.6,22,15.4,17.4,21,0.619,53,0.415,68,0.368,6,1.9,1.3,0.4,0.3,0.4
Patrick Beverley,Chicago Bulls,G,34.7,21,27.7,10.7,15,0.533,37,0.568,79,0.316,6,5,3.4,1,0.7,0.9
Oshae Brissett,Indiana Pacers,F-G,24.8,64,16.5,15.7,138,0.725,152,0.467,152,0.316,6,3.3,0.6,0.5,0.2,0.5
Simone FontecChicago Bullso,Utah Jazz,F,27.3,51,14.4,20,44,0.795,114,0.421,180,0.328,6,1.5,0.8,0.3,0.2,0.8
Patty Milwaukee Bucksls,Brooklyn Nets,G,34.7,39,13.6,19.6,23,0.913,73,0.493,125,0.376,6,1.1,1.4,0.4,0.1,0.7
Jordan Nwora,Milwaukee Bucks,F,24.6,38,15.7,17.6,43,0.86,95,0.379,102,0.392,6,3.1,1,0.3,0.2,0.9
Duncan Robinson,Miami Heat,F,29,41,16,17.7,26,0.923,42,0.524,181,0.331,6,1.6,1,0.3,0,0.7
Gary Payton II,Golden State Warriors,G,30.4,6,15.3,13.4,3,0.667,15,0.733,9,0.444,6,3.7,0.7,0.3,0.7,0.7
Goga Bitadze,Orlando Magic,C-F,23.7,16,14.6,15.8,18,0.667,57,0.667,12,0.167,5.9,5,1.3,0.4,1,0.6
Andre Drummond,Chicago Bulls,C,29.7,66,12.7,20.8,121,0.537,264,0.617,3,0,5.9,6.6,0.5,0.7,0.4,1.1
Stanley Johnson,San Antonio Spurs,F-G,26.9,30,15.6,15.3,39,0.667,83,0.578,40,0.45,5.9,3.2,2.2,0.5,0.2,1.1
Maxi Kleber,Dallas Mavericks,F,31.2,37,25.1,10.4,38,0.711,57,0.667,112,0.348,5.9,3.6,1.4,0.3,0.8,0.7
Jaylin Williams,Oklahoma City Thunder,F,20.8,49,18.7,13.4,54,0.704,121,0.463,112,0.411,5.9,4.9,1.6,0.6,0.2,0.8
Dario Saric,Phoenix Suns,F,29,37,14.4,18.7,44,0.818,109,0.45,69,0.391,5.8,3.8,1.5,0.4,0.1,1
Charlotte Hornetsrles Bassey,San Antonio Spurs,C-F,22.4,35,14.5,15.7,37,0.595,127,0.661,8,0.375,5.7,5.5,1.3,0.5,0.9,1.2
Josh Christopher,Houston Rockets,G,21.3,63,12,22,58,0.759,231,0.545,88,0.239,5.7,1.1,1.1,0.5,0.2,0.9
Dewayne Dedmon,Miami Heat,C,33.7,30,11.7,21.3,44,0.727,92,0.576,37,0.297,5.7,3.6,0.5,0.2,0.5,0.6
R.J. Hampton,Orlando Magic,G,22.2,26,13.9,18,37,0.838,61,0.525,53,0.34,5.7,1.5,1.3,0.6,0.2,0.8
Rodney McGruder,Detroit Pistons,G,31.7,32,16.4,14,22,0.818,55,0.382,97,0.423,5.7,2.3,0.9,0.5,0,0.3
Alex Caruso,Chicago Bulls,G,29.1,66,23.6,11.1,73,0.808,134,0.552,149,0.369,5.6,3,2.9,1.5,0.7,1.2
Johnny Davis,Washington Wizards,G,21.1,27,14.2,20,23,0.522,96,0.5,55,0.255,5.6,2.1,0.7,0.3,0.3,0.6
Danny Green,Cleveland Cavaliers,G,35.8,7,10.1,19.3,1,1,7,0.571,19,0.526,5.6,0.9,0.4,0.7,0.3,0.6
Jalen Johnson,Atlanta Hawks,F,21.3,68,15,15.9,76,0.632,212,0.585,100,0.28,5.6,4.1,1.2,0.5,0.5,0.6
Kevin Knox II,Detroit Pistons,F,23.7,42,14.1,16.2,33,0.788,63,0.651,116,0.371,5.6,2.6,0.4,0.3,0.3,0.8
Davion Mitchell,Sacramento Kings,G,24.6,80,18.1,14.1,31,0.806,202,0.584,197,0.32,5.6,1.3,2.3,0.6,0.2,0.8
Derrick Rose,New York Knicks,G,34.5,27,12.5,23.7,12,0.917,96,0.438,63,0.302,5.6,1.5,1.7,0.3,0.2,0.8
Wenyen Gabriel,Los Angeles Lakers,F,26,67,15.1,14.2,84,0.619,221,0.647,36,0.278,5.5,4.2,0.5,0.4,0.5,0.7
Nikola Jovic,Miami Heat,F,19.8,15,13.6,19,19,0.947,34,0.588,35,0.229,5.5,2.1,0.7,0.5,0.1,0.7
Saben Lee,Phoenix Suns,G,23.8,22,14.5,18.4,49,0.735,75,0.4,21,0.381,5.5,1.9,2.5,0.7,0,0.9
Otto Portland Trail Blazerster Jr.,Toronto Raptors,F,29.9,8,18.3,10.9,8,1,13,0.692,17,0.353,5.5,2.4,1,1.4,0,0.5
YUtah Jazz Watanabe,Brooklyn Nets,G-F,28.5,57,15.7,13.1,45,0.733,95,0.558,129,0.45,5.5,2.4,0.8,0.4,0.3,0.4
LIndiana Pacersell Wigginton,Milwaukee Bucks,G,25,6,9.9,26.5,3,1,15,0.6,14,0.286,5.5,1,2.2,0,0.2,1.2
Jarrell Brantley,Utah Jazz,F,26.8,4,9.8,18.1,2,1,5,0.8,9,0.444,5.5,1.5,0.8,0,0.5,0.5
Darius Bazley,Oklahoma City Thunder,F-G,22.8,36,15.4,15.7,65,0.554,113,0.469,45,0.4,5.4,3.4,0.9,0.5,0.8,0.6
James Bouknight,Charlotte Hornets,G,22.6,33,14.8,19.3,27,0.667,80,0.425,101,0.307,5.4,2.1,1.2,0.4,0.2,0.9
Montrezl Harrell,Philadelphia 76ers,F-C,29.2,56,11.8,18.6,94,0.691,195,0.615,4,0,5.4,2.7,0.6,0.3,0.4,0.6
Devonte' Graham,New Orleans Pelicans,G,28.1,53,15.3,15,59,0.746,41,0.463,190,0.347,5.3,1.4,2.2,0.6,0.2,0.5
Lamar Stevens,Cleveland Cavaliers,F,25.8,61,18.1,13.7,57,0.702,190,0.516,95,0.316,5.3,3.3,0.5,0.4,0.3,0.4
Rudy Gay,Utah Jazz,F-G,36.6,56,14.6,17.7,49,0.857,157,0.484,130,0.254,5.2,2.9,1,0.3,0.3,0.7
Javonte Green,Chicago Bulls,G-F,29.7,32,15,13.6,45,0.667,73,0.658,35,0.371,5.2,2.8,0.7,0.8,0.7,0.6
Ricky Rubio,Cleveland Cavaliers,G,32.5,32,16.9,17.4,33,0.788,89,0.427,78,0.269,5.2,2,3.4,0.8,0.2,0.9
LIndiana Pacersy Waters III,Oklahoma City Thunder,F,25.7,40,12.9,15.4,20,0.8,16,0.75,156,0.359,5.2,1.8,0.7,0.4,0.3,0.3
Ziaire Williams,Memphis Grizzlies,F,21.6,36,14.7,17.4,18,0.778,88,0.602,89,0.247,5.2,2.1,0.7,0.4,0.1,1
DeAndre Jordan,Denver Nuggets,C,34.7,38,14.7,13.8,46,0.435,111,0.766,1,1,5.1,5.1,0.8,0.3,0.6,1.2
John KonCharlotte Hornetsr,Memphis Grizzlies,G,27,71,20.5,10.4,36,0.778,140,0.55,175,0.343,5.1,4.2,1.4,1,0.3,0.5
Payton PritCharlotte Hornetsrd,Boston Celtics,G,25.2,47,12.7,19.3,15,0.733,86,0.512,138,0.341,5.1,1.6,1.1,0.3,0,0.7
MarJon BeauCharlotte Hornetsmp,Milwaukee Bucks,F,22.5,51,13.1,18.4,37,0.73,96,0.49,137,0.328,5,2.1,0.6,0.4,0.1,0.8
Jaxson Hayes,New Orleans Pelicans,C-F,22.9,47,13,15.7,83,0.699,127,0.654,29,0.103,5,2.8,0.7,0.4,0.4,0.7
George Hill,Milwaukee Bucks,G,36.9,35,19.1,11.3,46,0.739,58,0.621,74,0.311,5,1.9,2.5,0.5,0.1,0.8
Jonathan Isaac,Orlando Magic,F,25.5,11,11.3,21.1,9,0.556,38,0.421,15,0.4,5,4,0.5,1.3,0.4,0.4
Derrick Jones Jr.,Chicago Bulls,F,26.1,63,14,14.3,84,0.738,147,0.585,77,0.351,5,2.3,0.5,0.4,0.6,0.4
Cody Martin,Charlotte Hornets,F,27.5,7,19.1,12.9,7,0.571,22,0.5,14,0.214,5,3.4,1.6,0.6,0.1,0.3
Bryce McGowens,Charlotte Hornets,G,20.4,45,16.8,14.5,70,0.729,115,0.426,76,0.329,5,2,1.1,0.3,0.1,0.9
Zeke Nnaji,Denver Nuggets,F-C,22.2,52,13.5,14.5,60,0.667,124,0.702,56,0.268,5,2.5,0.3,0.3,0.4,0.5
Justin Minnesota Timberwolvesaya,Portland Trail Blazers,F,24,3,21.7,12,0,0,6,0.5,9,0.333,5,3.7,1,0.7,1.3,1
Mac McClung,Philadelphia 76ers,G,24.3,1,7.8,33.7,2,1,1,0,2,0.5,5,1,0,0,0,2
Vlatko Cancar,Denver Nuggets,F,26,59,14.7,13.8,36,0.917,109,0.587,114,0.368,4.9,2.1,1.3,0.3,0.2,0.6
Isaiah Hartenstein,New York Knicks,C-F,24.9,81,19.8,11.2,71,0.676,283,0.576,37,0.216,4.9,6.6,1.2,0.6,0.8,0.8
Eugene Omoruyi,Oklahoma City Thunder,F,26.1,23,11.8,18.7,28,0.607,63,0.571,31,0.258,4.9,2.3,0.5,0.6,0,0.7
Austin Rivers,Minnesota Timberwolves,G,30.7,52,19.5,10.5,39,0.769,86,0.558,123,0.35,4.9,1.6,1.4,0.5,0.1,0.4
Garrison Mathews,Houston Rockets,G,26.5,45,13.4,14.3,45,0.911,15,0.467,155,0.342,4.8,1.4,0.5,0.5,0.1,0.4
Chicago Bullsmezie Metu,Sacramento Kings,F-C,26,65,10.4,17.5,67,0.731,178,0.663,37,0.243,4.8,3,0.6,0.3,0.3,0.5
Mike Muscala,Boston Celtics,F-C,31.8,19,15.2,12.9,6,0.667,18,0.667,58,0.362,4.8,3.2,0.5,0.2,0.3,0.4
Blake Wesley,San Antonio Spurs,G,20.1,36,17.7,18.6,44,0.591,155,0.303,49,0.367,4.8,2.1,2.5,0.7,0.1,1.7
Christian Braun,Denver Nuggets,G,22,75,15.4,12.8,62,0.613,186,0.565,94,0.362,4.7,2.4,0.8,0.5,0.2,0.4
Jamal Cain,Miami Heat,F,24.1,17,13,14.3,19,0.789,43,0.651,16,0.188,4.7,2.8,0.6,0.5,0.1,0.2
Danuel Houston Rocketsse Jr.,Philadelphia 76ers,F-G,29.8,55,14.2,13.5,57,0.737,79,0.671,107,0.346,4.7,1.6,0.7,0.3,0.2,0.5
Keon Johnson,Portland Trail Blazers,G,21.1,40,10.4,25,41,0.659,97,0.402,81,0.346,4.7,1.1,1.5,0.5,0.2,1.1
Day'Ron Sharpe,Brooklyn Nets,F,21.4,47,11.2,19.4,54,0.63,154,0.552,11,0.545,4.7,4,0.7,0.3,0.6,0.9
Moses Brooklyn Netswn,LA Clippers,C,23.5,34,8.5,21.5,72,0.458,96,0.635,0,0,4.6,4.1,0.1,0.1,0.4,0.4
Quenton Jackson,Washington Wizards,G,24.6,8,12.8,17.8,20,0.8,19,0.474,10,0.1,4.6,0.8,1.3,0.3,0.1,0.5
Johnny Juzang,Utah Jazz,G,22.1,17,12.7,19.3,4,0.5,34,0.471,61,0.246,4.6,2.1,0.5,0.2,0.2,0.2
Kira Lewis Jr.,New Orleans Pelicans,G,22,25,9.4,19.7,22,0.864,54,0.463,34,0.441,4.6,1.3,0.9,0.4,0.1,0.4
Dean Wade,Cleveland Cavaliers,F-C,26.4,43,20.2,10.2,23,0.652,48,0.583,123,0.341,4.6,3.4,0.8,0.6,0.5,0.4
TyTy Washington Wizardshington Jr.,Houston Rockets,G,21.4,30,13.8,17.7,16,0.625,77,0.494,78,0.218,4.6,1.4,1.6,0.4,0.1,0.5
Ousmane Dieng,Oklahoma City Thunder,F,19.9,38,13.8,15.6,18,0.611,76,0.579,90,0.267,4.5,2.6,1,0.3,0.2,0.6
Justin Holiday,Atlanta Hawks,F-G,34,28,14.7,14,0,0,38,0.474,87,0.345,4.5,0.8,0.9,0.2,0.4,0.4
Moses Moody,Golden State Warriors,G,20.9,62,12.7,14.4,52,0.692,85,0.624,128,0.352,4.5,1.6,0.8,0.3,0.1,0.5
Dallas MaverickSan Antonio Spurso Banton,Toronto Raptors,F,23.4,30,8.6,23.8,22,0.727,71,0.493,48,0.313,4.4,1.3,1,0.4,0.4,0.5
Jarrett Culver,Atlanta Hawks,G-F,24.1,10,13.7,17.1,13,0.692,31,0.516,12,0.083,4.4,3.8,0.6,0.6,0.2,0.7
A.J. Green,Milwaukee Bucks,G,23.5,35,9.9,16.5,4,1,20,0.45,105,0.419,4.4,1.3,0.6,0.1,0,0.3
Haywood Highsmith,Miami Heat,F,26.3,53,17.8,12.6,28,0.464,105,0.524,108,0.343,4.4,3.4,0.8,0.7,0.3,0.8
Justin Holiday,Dallas Mavericks,F-G,34,17,16,13.9,8,0.625,19,0.632,51,0.294,4.4,1.8,0.9,0.8,0.5,0.6
DaMiami Heatn Jones,Utah Jazz,C,27.8,18,15.5,9.3,9,0.778,31,0.677,13,0.769,4.4,3.4,0.6,0.3,0.5,0.8
JaVale McGee,Dallas Mavericks,C-F,35.2,42,8.4,22.9,41,0.585,120,0.65,5,0.4,4.4,2.5,0.3,0.1,0.6,0.9
Chuma Okeke,Orlando Magic,F,24.6,26,18.7,12,21,0.762,33,0.485,78,0.282,4.4,3.5,1.2,0.6,0.4,0.6
Thaddeus Young,Toronto Raptors,F,34.8,54,14.7,13.5,26,0.692,164,0.622,34,0.176,4.4,3.1,1.4,1,0.1,0.8
Davis Bertans,Dallas Mavericks,F,30.4,44,10.5,16,15,0.867,17,0.706,130,0.385,4.3,1,0.5,0.3,0.1,0.2
Bismack Biyombo,Phoenix Suns,C,30.6,61,14.3,14.1,70,0.357,206,0.578,0,0,4.3,4.2,0.9,0.3,1.4,0.8
MaLA Clippershicago Bulls Flynn,Toronto Raptors,G,24.9,52,12.6,17.2,29,0.724,99,0.354,129,0.349,4.3,1.4,1.3,0.4,0.1,0.4
Xavier Sneed,Charlotte Hornets,F,25.3,4,12.1,12.9,4,1,4,0.5,6,0.5,4.3,1.3,1.3,0,0.3,0.8
Thomas Bryant,Denver Nuggets,C-F,25.7,17,10.8,18.5,18,0.722,54,0.481,6,0.333,4.2,3.1,0.1,0.1,0.4,0.6
Kessler Edwards,Sacramento Kings,F,22.7,21,14.1,12.1,15,0.8,26,0.615,42,0.357,4.2,2.2,1,0.5,0.2,0.4
Blake Griffin,Boston Celtics,F,34.1,40,14.1,12.6,32,0.656,64,0.625,63,0.349,4.2,3.8,1.5,0.4,0.2,0.5
T.J. Warren,Phoenix Suns,F,29.6,16,12.3,16,2,0.5,51,0.471,19,0.316,4.2,3.1,0.7,0.4,0.3,0.2
Goran Dragic,Milwaukee Bucks,G,36.9,6,10.4,21.5,4,1,9,0,15,0.467,4.2,1.5,1.8,0.3,0,1
Mo Bamba,Los Angeles Lakers,C,24.9,8,10.9,19.3,11,0.545,11,0.545,16,0.313,4.1,5,0.5,0.1,0.6,1
Bruno Fernando,Houston Rockets,F-C,24.7,31,11.7,15.1,44,0.682,92,0.522,1,0,4.1,3.9,1,0.2,1,0.6
Serge Ibaka,Milwaukee Bucks,F,33.6,16,11.6,16.1,13,0.615,36,0.556,18,0.333,4.1,2.8,0.3,0.1,0.4,0.7
Meyers Leonard,Milwaukee Bucks,F-C,31.1,8,10.4,16.5,6,0.833,9,0.556,16,0.375,4.1,2.8,0,0.1,0,0.6
Gary Payton II,Portland Trail Blazers,G,30.4,15,17.1,9.3,4,1,24,0.625,17,0.529,4.1,2.6,1.5,1,0.1,0.8
Isaiah Roby,San Antonio Spurs,F,25.2,42,11.3,17.8,41,0.488,95,0.516,60,0.3,4.1,2.5,0.9,0.4,0.2,0.7
Admiral Schofield,Orlando Magic,F,26,36,11.9,13.5,21,0.905,44,0.636,68,0.353,4.1,1.7,0.8,0.2,0.1,0.4
Ish Wainright,Phoenix Suns,F,28.6,59,15,12.3,29,0.862,53,0.509,168,0.327,4.1,2.2,0.9,0.6,0.4,0.4
Will Barton,Toronto Raptors,G,32.3,15,13.1,16,2,1,31,0.355,39,0.308,4,1.6,1.1,0.7,0.2,0.2
George Hill,Indiana Pacers,G,36.9,10,14.4,10.4,6,1,12,0.667,15,0.4,4,1.5,1.8,0.6,0.3,0.6
Daishen Nix,Houston Rockets,G,21.2,56,16,15.4,36,0.667,95,0.421,138,0.29,4,1.7,2.3,0.5,0.1,1.5
Paul Reed,Philadelphia 76ers,F,23.8,68,10.7,16,51,0.745,190,0.611,4,0,4,3.7,0.4,0.6,0.7,0.6
McKinley Wright IV,Dallas Mavericks,G,24.5,25,12.2,16.9,16,0.688,62,0.532,26,0.308,4,1.7,2.2,0.3,0.2,0.8
Aaron Holiday,Atlanta Hawks,G,26.5,62,13.1,13.2,32,0.844,125,0.432,83,0.422,3.9,1.2,1.3,0.6,0.2,0.5
Orlando Magicando Robinson,Miami Heat,C,22.7,30,13.8,12.6,31,0.71,83,0.566,5,0,3.9,4.1,0.8,0.4,0.4,0.5
Matt Ryan,Los Angeles Lakers,F,26,12,10.8,17.7,5,0.8,14,0.143,35,0.371,3.9,1.2,0.3,0.2,0,0.3
Patrick Baldwin Jr.,Golden State Warriors,F,20.4,30,7.2,22.4,6,0.667,23,0.435,79,0.38,3.8,1.2,0.3,0.2,0.1,0.4
Jamaree Bouyea,Miami Heat,G,23.8,4,16.3,12.2,2,0.5,8,0.5,5,0.4,3.8,1.3,1,1,0.5,1
Dyson Daniels,New Orleans Pelicans,G,20.1,59,17.7,11.6,40,0.65,122,0.492,86,0.314,3.8,3.2,2.3,0.7,0.2,1
Darius Days,Houston Rockets,F,23.5,4,6.3,21.4,2,1,2,1,10,0.3,3.8,1.5,0.3,0,0.3,0
Terry Taylor,Chicago Bulls,G,23.5,4,5.2,16.8,2,0,6,1,1,1,3.8,1,0,0,0,0
JT Thor,Charlotte Hornets,F,20.6,68,13.8,13,47,0.702,110,0.5,117,0.325,3.8,2.1,0.5,0.3,0.3,0.6
Jabari Walker,Portland Trail Blazers,F,20.7,55,10.9,17.3,43,0.767,138,0.457,54,0.296,3.8,2.3,0.6,0.2,0.2,0.5
Nathan Knight,Minnesota Timberwolves,F-C,25.6,37,7.8,18.4,57,0.684,57,0.649,22,0.364,3.7,1.5,0.4,0.3,0.2,0.5
Luke Kornet,Boston Celtics,F-C,27.7,68,11.3,11.3,37,0.811,149,0.705,11,0.273,3.7,2.8,0.7,0.1,0.7,0.4
A.J. Lawson,Dallas Mavericks,G,22.7,12,6.9,21,3,0.333,12,0.667,22,0.409,3.7,1.2,0.1,0.1,0,0.3
Jordan McLaughlin,Minnesota Timberwolves,G,27,42,15.7,11.9,16,0.813,67,0.552,77,0.299,3.7,1.4,3.4,0.8,0.1,0.8
Markieff Morris,Dallas Mavericks,F,33.6,7,6.1,21.2,0,0,5,0.8,11,0.545,3.7,0.7,0.6,0.1,0,0.6
Gorgui Dieng,San Antonio Spurs,C,33.2,30,11.2,17.5,9,0.778,40,0.55,69,0.275,3.6,3.2,1.6,0.1,0.4,1
Bryn Forbes,Minnesota Timberwolves,G,29.7,25,10.7,16.2,15,1,37,0.432,46,0.304,3.6,0.6,0.7,0.3,0.1,0.5
Kevon Harris,Orlando Magic,G,25.8,33,13,13.1,34,0.794,59,0.475,36,0.333,3.6,1.9,0.4,0.5,0.2,0.6
Furkan Korkmaz,Philadelphia 76ers,G-F,25.7,36,9,19.4,34,0.706,62,0.484,42,0.357,3.6,1.1,0.6,0.2,0.1,0.6
Markieff Morris,Brooklyn Nets,F,33.6,27,10.6,15.6,10,1,33,0.394,49,0.408,3.6,2.2,0.9,0.3,0.2,0.5
